title,artist,link
Emerging (1987),Paul Furneaux,./record/111442?highlight=*:*
Untitled - Old Woman (1965-1966),Norman Orr,./record/99406?highlight=*:*
Unknown,J Brown,./record/53568?highlight=*:*
Flight Path No 1 (1977),Wilhelmina Barns-Graham CBE HRSA HRSW,./record/19635?highlight=*:*
Untitled (1962),Cant,./record/21763?highlight=*:*
Untitled (2002),Grace Paul,./record/99934?highlight=*:*
Angel with Candelabrum (facing left),Unknown,./record/20543?highlight=*:*
Portrait of a Woman (02 NOV 1953),Elizabeth Blackadder,./record/21407?highlight=*:*
Portrait of a Woman (1958),Andrew Smith,./record/21148?highlight=*:*
Portrait of a Woman (1966),Isobel T Johnstone,./record/21404?highlight=*:*
Sampler (1932),Patty Mitchell,./record/100013?highlight=*:*
Three Views of a Seated Female Nude (1959),William Mackay,./record/21163?highlight=*:*
Fancy Pipe (2006),Michael Hecht,./record/99882?highlight=*:*
Unknown,Unknown,./record/53511?highlight=*:*
Landscape (1957),Sheena McEwan,./record/21010?highlight=*:*
Unknown,Unknown,./record/53510?highlight=*:*
Portrait of a Man in a Flat Cap (1963),John Milligan,./record/21287?highlight=*:*
Still Life with Net and Burning Candle (Circa 1987),Donald Clark,./record/22528?highlight=*:*
Untitled - Older Couple (1983),Kathleen R Greer,./record/99430?highlight=*:*
Reclining Male Nude (1954),Alex Sutherland,./record/21248?highlight=*:*
Untitled - Pensive Girl (1963),Felicity J Bostock,./record/99371?highlight=*:*
Siena (1956),John P Busby,./record/21379?highlight=*:*
Portrait of a Woman (1957),Peter McGinn,./record/21086?highlight=*:*
Portrait of a Woman (1950),Alexander F Mitchell,./record/21055?highlight=*:*
Nude Woman Standing (1961),Rose A. K. Forsyth,./record/122826?highlight=*:*
Frieze from the Temple of Athena Nike (far right) (1827),NA,./record/20628?highlight=*:*
Unknown (1982),Donald Urquhart,./record/99516?highlight=*:*
Summer Fayre,Unknown,./record/22658?highlight=*:*
Untitled (1968),Sheila Wardrope,./record/22495?highlight=*:*
Abstract,V. Constant,./record/111445?highlight=*:*
Portrait of a Man in Red Shirt (1968),Alan T. Johnston,./record/21423?highlight=*:*
Two Men in an Interior (1989),Sean H. Watson,./record/22646?highlight=*:*
Portrait of a Man Seated (1959),C Byron,./record/20914?highlight=*:*
Seated Female Nude (1953),Lilias Stirling,./record/20944?highlight=*:*
Sketches of Five Heads (1959),Denness Morton,./record/20886?highlight=*:*
Abstract with Circles (Circa 1945),Alan Davie,./record/20749?highlight=*:*
Church (1989),Joanne Leonie Milne,./record/21452?highlight=*:*
Placa del Sol (1991),Caroline Conway,./record/21839?highlight=*:*
Jug (1920s),Emma Gillies,./record/53741?highlight=*:*
Hare (1920s),Emma Gillies,./record/122127?highlight=*:*
Standing Male Nude (1959),James C. Y. Gavin,./record/20877?highlight=*:*
Seated Female Nude (1953),Robert L Thomson,./record/21122?highlight=*:*
Leopard (1920s),Emma Gillies,./record/122123?highlight=*:*
Abstract Landscape (Circa 1964),Kirkland Main,./record/21171?highlight=*:*
Food Print (2006),Tomoko Kawanaka,./record/99862?highlight=*:*
Untitled (1965),Julia A M Barnard,./record/99382?highlight=*:*
Self Portrait (1950),William James Laidlaw Baillie,./record/21361?highlight=*:*
Chariot from North Frieze of the Parthenon (1836-1837),NA,./record/20714?highlight=*:*
Standing Man with Scythe (1950s),John Houston,./record/21046?highlight=*:*
Self Portrait (1992),Victoria A. James,./record/22742?highlight=*:*
Standing Female Nude,Alastair Fairweather,./record/50424?highlight=*:*
Pyreneen Vogel (2002),Frances Ryan,./record/21806?highlight=*:*
Untitled,NA,./record/111044?highlight=*:*
Three studies on a pink ground (girl with clasped hands) (1949),Barbara Hepworth,./record/20769?highlight=*:*
Unknown,Unknown,./record/50433?highlight=*:*
Offstage (1957),Alexander S Campbell,./record/123105?highlight=*:*
Untitled (1962),Kathleen Russell,./record/99521?highlight=*:*
Untitled (Unknown),Unknown,./record/21616?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,./record/21931?highlight=*:*
Seated Figure in Striped Top (Circa 1981),Alastair R. W. Hearsum,./record/22527?highlight=*:*
Seated Female Nude (1955),Eric Ritchie,./record/21194?highlight=*:*
Scissors,Jayne Stokes,./record/22615?highlight=*:*
Standing Male Nude (1952),David Michie,./record/21386?highlight=*:*
Nude Female in Studio (1967),Sylvia M. R. Cameron,./record/122909?highlight=*:*
Unknown (1964),Eleanor Maiden,./record/53584?highlight=*:*
Untitled (1987),Susan Veitch,./record/21898?highlight=*:*
The Etiquette of Landscape and Face: Passage 2 (2015),Leonie Neuweger,./record/53782?highlight=*:*
Spring Board (Circa 1971),Alan Brown,./record/22584?highlight=*:*
Multicoloured Geometric (1971),Jim Hickey,./record/22602?highlight=*:*
Landscape with Orchards (1955),Margaret Proudfoot,./record/21033?highlight=*:*
Untitled (Unknown),Paul Gladston,./record/21729?highlight=*:*
Still Life with Guitar (1962),John Picking,./record/22702?highlight=*:*
Untitled (1960),Robert L Snowden,./record/21542?highlight=*:*
Unknown (1949),James N. Hardie,./record/50531?highlight=*:*
Memory and Process (2015),Callum Watson,./record/53779?highlight=*:*
Unknown (1949),Betty Elston,./record/50582?highlight=*:*
Untitled,Peter Pretsell,./record/99795?highlight=*:*
Step 4 (2013),Maria Hadam,./record/21309?highlight=*:*
Untitled (1983),Robert Rivers,./record/99802?highlight=*:*
Thurs 2nd Sept '82 Along from Rialto (02 Sep 1982),Moira A Edmondston,./record/99431?highlight=*:*
Untitled,Dr Ainslie Yule,./record/99532?highlight=*:*
Untitled (Unknown),Unknown,./record/21856?highlight=*:*
Unknown (Circa 1984),Malcolm Clark,./record/50413?highlight=*:*
Untitled,Unknown,./record/102695?highlight=*:*
Grandmother (1962),John Bellany,./record/21532?highlight=*:*
Man in a Suit Seated on a Stool (1959),Albert Robson,./record/20785?highlight=*:*
Portrait of a Man (1957),Rupert F C Cracknell,./record/21362?highlight=*:*
11. Ann Monotype (1959),Alan M. Alexander,./record/50600?highlight=*:*
Man Against Yellow Wall (1985-1986),Robbie Bushe,./record/21520?highlight=*:*
Portrait of a Woman (1957),Norman E Kirkpatrick,./record/21021?highlight=*:*
The Misadventure (1989),John Brown,./record/21575?highlight=*:*
Two Men on a Train (12 JUN 1948),Marjorie Wallace,./record/20856?highlight=*:*
Two Farmers in the Field (1951),James P W Syme,./record/21262?highlight=*:*
Cheeseplant No. 3,Susan Alexander,./record/50402?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,./record/21151?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,./record/50445?highlight=*:*
Unknown,Unknown,./record/53512?highlight=*:*
Portrait of a Woman (1939-1940),James Gordon,./record/21097?highlight=*:*
Standing Male Nude,R Hardie,./record/21038?highlight=*:*
Untitled (Unknown),Unknown,./record/21556?highlight=*:*
Untitled (Unknown),Unknown,./record/21984?highlight=*:*
Untitled (Unknown),Patrick McKenzie Smith,./record/21613?highlight=*:*
Vojna Tajna (1983),Boris Bućan,./record/22471?highlight=*:*
Isabella of Aragon (broken) (Post 1912),Unknown,./record/20532?highlight=*:*
House and Figures in a Landscape,Judith A. Heller,./record/22578?highlight=*:*
Still Life with Bols Bottle,Leonard I. H. Gray,./record/22673?highlight=*:*
Unknown (1947-1948),William D Clyne,./record/50635?highlight=*:*
Untitled (Mar 1963),John Bellany,./record/21535?highlight=*:*
Earth II,Garry Marshall,./record/122723?highlight=*:*
Untitled,Unknown,./record/102678?highlight=*:*
Seated Male Nude,Graham Durward,./record/22568?highlight=*:*
Untitled (2006),Greggory Bradford,./record/99877?highlight=*:*
Teacup,Emma Gillies,./record/53637?highlight=*:*
Reclining Female Nude on White Iron Bed,Unknown,./record/122802?highlight=*:*
Bottles on Table,Unknown,./record/122760?highlight=*:*
Untitled (Unknown),Unknown,./record/99921?highlight=*:*
Untitled (1973),Ken McLennan,./record/21844?highlight=*:*
Reclining Female Nude (1948),Victorine Anne Schilsky,./record/20831?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,./record/50470?highlight=*:*
Espresso Cup (1920s),Emma Gillies,./record/53699?highlight=*:*
Untitled (Unknown),Unknown,./record/21816?highlight=*:*
Unknown (1950),John W. Corner,./record/50519?highlight=*:*
Unknown (1957),Andrew P. W. Conkie,./record/50523?highlight=*:*
Still Life,Ianthe Fisher,./record/122799?highlight=*:*
Untitled (Unknown),Unknown,./record/21999?highlight=*:*
Portrait of a Seated Man (1955),Peter McGinn,./record/21213?highlight=*:*
Life Drawing,Eugene Corolan,./record/99850?highlight=*:*
Untitled (1962),Deborah Eadie,./record/99495?highlight=*:*
Seated Male Nude with Sword (1955),Fiona C MacCormick,./record/21013?highlight=*:*
Untitled - Portrait of a Woman in a Hat (1974),Patricia M Leighton,./record/99473?highlight=*:*
Portrait of a Woman (1954),David Ewans,./record/21215?highlight=*:*
Summer Composition 1967 (1967),Alan T. Johnston,./record/122689?highlight=*:*
Untitled (1960),Robert L Snowden,./record/21538?highlight=*:*
Still Life,Gavin Robson,./record/122713?highlight=*:*
Leith Docks,David McClure,./record/122725?highlight=*:*
Nude Figure,Carolyn Wall,./record/122773?highlight=*:*
Inner Landscape (2006),Thipel,./record/99990?highlight=*:*
Untitled,Unknown,./record/102729?highlight=*:*
Female Nude (1956),Moira E. Brown,./record/122749?highlight=*:*
Portrait of a Man,M Ledgerwood,./record/21504?highlight=*:*
Untitled (1996),Jennifer C. Lindsay,./record/21930?highlight=*:*
Female Head Study (1949),Richard Lovell,./record/50488?highlight=*:*
Portrait of Woman in White Blouse (1962),Elizabeth G. Kellar,./record/22714?highlight=*:*
Train Station,T Honeyman,./record/21463?highlight=*:*
Portrait in Green,Claudia Petretti,./record/21438?highlight=*:*
Standing Male Nude with White Cloth over Shoulders (1950),Joan Connell,./record/122863?highlight=*:*
Tapestry fragment,Unknown,./record/102673?highlight=*:*
Opera - Vienna (1963-1964),Leslie Allan,./record/99384?highlight=*:*
Untitled (Unknown),A. Geraldine Gowan,./record/21580?highlight=*:*
Side Plate,Emma Gillies,./record/53611?highlight=*:*
Untitled (2014),Rachel Hill,./record/47450?highlight=*:*
Unknown (31 MAY 1960),Rhona L. Barclay,./record/50618?highlight=*:*
The Thinker (1969),Marko Krsmanovic,./record/21647?highlight=*:*
Winter Fence (1977),Alfons Bytautas,./record/21549?highlight=*:*
Untitled (1963),Janette Brown,./record/22008?highlight=*:*
Unknown,Unknown,./record/50417?highlight=*:*
Study for completed image (1960),Vivien Alexander,./record/50625?highlight=*:*
Untitled (Unknown),David Douglas,./record/21641?highlight=*:*
Plate (1920s),Emma Gillies,./record/53708?highlight=*:*
Untitled - Abstract Building (1972),Lindsay R S Gordon,./record/99422?highlight=*:*
Study for Two Figure Composition (1949),Douglas Baxter,./record/50576?highlight=*:*
Self-Portrait (1967),Gregor Smith,./record/99398?highlight=*:*
Untitled (1972),Lin Hunter,./record/21834?highlight=*:*
Composition with Photo Screenprints of a Dead Rabbit (1972),Brent D. Millar,./record/22572?highlight=*:*
Untitled (1967),Sam Rae,./record/21756?highlight=*:*
Step 2 (2013),Maria Hadam,./record/21307?highlight=*:*
Unknown (1947),Vivien Chapman,./record/50475?highlight=*:*
Crucifixion (1952),John Picking,./record/122709?highlight=*:*
Untitled (1987),Henry Rodgers,./record/99799?highlight=*:*
Untitled,Unknown,./record/102728?highlight=*:*
Seated Male Nude (17 FEB 1959),A Robson,./record/20937?highlight=*:*
Male Nude on Step Ladders,Helen G. S Forde,./record/22671?highlight=*:*
Untitled - Three Figures At the Opera (1963),Ann F Ward,./record/99344?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,./record/20672?highlight=*:*
Still Life with Bowl of Fruit (1964),William M. McG. Gillon,./record/122877?highlight=*:*
Composition with Sinking Ship and Lightbulb (1986),David Hosie,./record/99529?highlight=*:*
Circus (1950),Cecile E M Johnston,./record/21027?highlight=*:*
Portrait of a Young Man (1951),James P W Syme,./record/21240?highlight=*:*
Seated Male Nude (1965-1966),H Chart,./record/21268?highlight=*:*
After the Fall of Snow (1986),Hilary A. Fisher,./record/21705?highlight=*:*
Dorothy Allsop sampler (1936),Unknown,./record/102697?highlight=*:*
Untitled - Abstract Bridge and Ballons (1968),Alastair Burns,./record/99474?highlight=*:*
Untitled (Unknown),Unknown,./record/21991?highlight=*:*
Plate,Emma Gillies,./record/53719?highlight=*:*
Seated Female Nude (1939),Heather Measham,./record/21136?highlight=*:*
Untitled (1969),Richard Easson,./record/99829?highlight=*:*
Side Plate,Emma Gillies,./record/53614?highlight=*:*
Untitled (1976),Ian Baillie,./record/21599?highlight=*:*
Walking the Wall (Unknown),Victoria C F Bernie,./record/21906?highlight=*:*
Portrait of a Seated Man (1954),Edith Fraser,./record/21208?highlight=*:*
Untitled (1968),Maureen Purcell,./record/22499?highlight=*:*
Saucer,Emma Gillies,./record/53625?highlight=*:*
Untitled (2002),Lisa Flett,./record/99926?highlight=*:*
Untitled (Unknown),Catherine Fairgrieve,./record/21721?highlight=*:*
No 98 (1960),John Johnstone,./record/99207?highlight=*:*
Still Life Apples (1953),D. Gordon Campbell,./record/22674?highlight=*:*
Unknown (1950),James Bowman,./record/50611?highlight=*:*
Unknown,Elizabeth Blackadder,./record/50638?highlight=*:*
Reclining Female Nude (14 DEC 1952),Llewella Brayne,./record/20940?highlight=*:*
Momen (2005),Tadas Gindrenas,./record/99901?highlight=*:*
Standing Female Nude (1952),Mollie E N Langlands,./record/21020?highlight=*:*
Untitled (1997),Unknown,./record/21910?highlight=*:*
Untitled (Unknown),Unknown,./record/21793?highlight=*:*
Snowy Landscape (1962),Geoffrey J Roper,./record/99368?highlight=*:*
Three Views of a Standing Woman (1949),Douglas Gordon,./record/21101?highlight=*:*
Acteon (1838),Sarti,./record/20582?highlight=*:*
Untitled - Portrait of Red-Haired Woman (1965),Ian Paterson,./record/99410?highlight=*:*
untitled (1984),David Hosie,./record/112340?highlight=*:*
Unknown (1966),John Nelson,./record/50497?highlight=*:*
Untitled (1962),Janette Brown,./record/99375?highlight=*:*
Portrait of a Woman at a Table (1960),Dorothea Brown,./record/20995?highlight=*:*
Sitting Nude Woman (Circa 1975),Fiona G. Robertson,./record/123342?highlight=*:*
Unknown (1950),Alexander Cree,./record/50541?highlight=*:*
2. (a) Baskerville Serif (1972),Anthony Benjamin,./record/21669?highlight=*:*
Performing Labour in an Industrial Setting II (2020),Aisling Ward,./record/113776?highlight=*:*
Oedipus is King (Circa 1964),Kirkland Main,./record/122717?highlight=*:*
Figures by a canal (Circa 1987),John Picking,./record/122740?highlight=*:*
Stretching Male Nude (Circa 1953),Valerie Donaldson,./record/20949?highlight=*:*
Untitled (1955),Alan Bartram,./record/99827?highlight=*:*
Mefisto (1983),Boris Bućan,./record/22037?highlight=*:*
Standing Male Nude (1958),Andrew P. W. Conkie,./record/22716?highlight=*:*
Life Painting (1918),Anne Redpath,./record/20735?highlight=*:*
Reclining Female Nude (1960),Kenneth R Wheatley,./record/20857?highlight=*:*
Standing Male Nude with staff (1949-1952),Adam Robson,./record/20812?highlight=*:*
